metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,value,unit,value_smoothed,description
Case,Total Cases,Citywide,,Daily,2021-01-05,NA,43888,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-06,NA,44634,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-07,NA,45244,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-08,NA,45737,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-09,NA,46014,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-10,NA,46249,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-11,NA,46832,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-12,NA,47374,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-13,NA,47883,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-14,NA,48327,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-15,NA,48713,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-16,NA,48974,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-17,NA,49148,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-18,NA,49456,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-19,NA,49970,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-20,NA,50468,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-21,NA,50933,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-22,NA,51332,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-23,NA,51545,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-24,NA,51713,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-25,NA,52171,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-26,NA,52550,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-27,NA,52895,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-28,NA,53225,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-29,NA,53469,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-30,NA,53605,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-01-31,NA,53732,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-01,NA,54003,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-02,NA,54235,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-03,NA,54541,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-04,NA,54837,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-05,NA,55080,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-06,NA,55215,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-07,NA,55294,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-08,NA,55586,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-09,NA,55789,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-10,NA,56057,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-11,NA,56265,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-12,NA,56425,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-13,NA,56529,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-14,NA,56600,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-15,NA,56755,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-16,NA,56963,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-17,NA,57175,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-18,NA,57349,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-19,NA,57509,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-20,NA,57616,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-21,NA,57702,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-22,NA,57942,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-23,NA,58153,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-24,NA,58381,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-25,NA,58544,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-26,NA,58700,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-27,NA,58808,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-02-28,NA,58912,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-01,NA,59143,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-02,NA,59347,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-03,NA,59552,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-04,NA,59752,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-05,NA,59889,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-06,NA,59974,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-07,NA,60061,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-08,NA,60259,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-09,NA,60435,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-10,NA,60599,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-11,NA,60799,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-12,NA,60932,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-13,NA,61017,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-14,NA,61081,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-15,NA,61283,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-16,NA,61489,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-17,NA,61716,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-18,NA,61918,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-19,NA,62090,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-20,NA,62181,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-21,NA,62267,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-22,NA,62554,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-23,NA,62830,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-24,NA,63129,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-25,NA,63436,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-26,NA,63675,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-27,NA,63854,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-28,NA,63967,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-29,NA,64278,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-30,NA,64602,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-03-31,NA,64917,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-01,NA,65187,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-02,NA,65420,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-03,NA,65540,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-04,NA,65614,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-05,NA,65950,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-06,NA,66208,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-07,NA,66473,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-08,NA,66704,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-09,NA,66876,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-10,NA,67005,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-11,NA,67100,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-12,NA,67299,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-13,NA,67478,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-14,NA,67674,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-15,NA,67832,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-16,NA,67941,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-17,NA,68017,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-18,NA,68081,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-19,NA,68224,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-20,NA,68362,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-21,NA,68482,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-22,NA,68614,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-23,NA,68747,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-24,NA,68807,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-25,NA,68863,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-26,NA,68990,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-27,NA,69128,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-28,NA,69243,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-29,NA,69318,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-04-30,NA,69411,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-01,NA,69460,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-02,NA,69504,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-03,NA,69601,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-04,NA,69677,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-05,NA,69769,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-06,NA,69851,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-07,NA,69912,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-08,NA,69943,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-09,NA,69969,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-10,NA,70056,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-11,NA,70116,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-12,NA,70169,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-13,NA,70222,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-14,NA,70254,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-15,NA,70282,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-16,NA,70307,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-17,NA,70358,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-18,NA,70392,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-19,NA,70426,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-20,NA,70469,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-21,NA,70499,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-22,NA,70511,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-23,NA,70520,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-24,NA,70552,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-25,NA,70576,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-26,NA,70616,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-27,NA,70643,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-28,NA,70653,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-29,NA,70660,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-30,NA,70670,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-05-31,NA,70672,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-01,NA,70703,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-02,NA,70730,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-03,NA,70760,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-04,NA,70788,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-05,NA,70798,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-06,NA,70805,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-07,NA,70825,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-08,NA,70843,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-09,NA,70855,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-10,NA,70869,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-11,NA,70879,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-12,NA,70889,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-13,NA,70891,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-14,NA,70897,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-15,NA,70904,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-16,NA,70910,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-17,NA,70917,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-18,NA,70925,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-19,NA,70930,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-20,NA,70933,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-21,NA,70937,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-22,NA,70945,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-23,NA,70953,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-24,NA,70965,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-25,NA,70970,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-26,NA,70975,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-27,NA,70981,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-28,NA,70995,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-29,NA,71007,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-06-30,NA,71015,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-01,NA,71030,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-02,NA,71036,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-03,NA,71037,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-04,NA,71038,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-05,NA,71042,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-06,NA,71059,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-07,NA,71077,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-08,NA,71102,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-09,NA,71121,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-10,NA,71135,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-11,NA,71152,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-12,NA,71193,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-13,NA,71243,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-14,NA,71290,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-15,NA,71330,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-16,NA,71381,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-17,NA,71405,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-18,NA,71425,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-19,NA,71497,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-20,NA,71565,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-21,NA,71644,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-22,NA,71730,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-23,NA,71801,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-24,NA,71844,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-25,NA,71893,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-26,NA,71974,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-27,NA,72065,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-28,NA,72169,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-29,NA,72282,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-30,NA,72378,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-07-31,NA,72426,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-01,NA,72499,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-02,NA,72638,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-03,NA,72800,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-04,NA,72924,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-05,NA,73064,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-06,NA,73215,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-07,NA,73276,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-08,NA,73337,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-09,NA,73467,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-10,NA,73629,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-11,NA,73772,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-12,NA,73927,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-13,NA,74027,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-14,NA,74083,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-15,NA,74148,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-16,NA,74298,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-17,NA,74480,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-18,NA,74658,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-19,NA,74805,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-20,NA,74920,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-21,NA,74994,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-22,NA,75046,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-23,NA,75222,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-24,NA,75399,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-25,NA,75583,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-26,NA,75762,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-27,NA,75916,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-28,NA,75993,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-29,NA,76062,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-30,NA,76241,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-08-31,NA,76425,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-01,NA,76592,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-02,NA,76768,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-03,NA,76922,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-04,NA,77009,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-05,NA,77082,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-06,NA,77151,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-07,NA,77421,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-08,NA,77692,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-09,NA,77945,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-10,NA,78145,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-11,NA,78233,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-12,NA,78308,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-13,NA,78531,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-14,NA,78729,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-15,NA,78940,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-16,NA,79100,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-17,NA,79245,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-18,NA,79312,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-19,NA,79355,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-20,NA,79540,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-21,NA,79712,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-22,NA,79861,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-23,NA,80001,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-24,NA,80105,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-25,NA,80164,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-26,NA,80228,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-27,NA,80367,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-28,NA,80494,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-29,NA,80652,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-09-30,NA,80756,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-01,NA,80864,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-02,NA,80908,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-03,NA,80977,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-04,NA,81130,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-05,NA,81269,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-06,NA,81406,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-07,NA,81554,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-08,NA,81655,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-09,NA,81705,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-10,NA,81763,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-11,NA,81866,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-12,NA,82000,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-13,NA,82115,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-14,NA,82242,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-15,NA,82349,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-16,NA,82388,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-17,NA,82421,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-18,NA,82534,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-19,NA,82644,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-20,NA,82733,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-21,NA,82829,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-22,NA,82911,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-23,NA,82952,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-24,NA,82992,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-25,NA,83105,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-26,NA,83206,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-27,NA,83310,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-28,NA,83430,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-29,NA,83526,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-30,NA,83571,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-10-31,NA,83622,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-01,NA,83745,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-02,NA,83893,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-03,NA,84057,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-04,NA,84201,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-05,NA,84319,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-06,NA,84378,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-07,NA,84429,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-08,NA,84601,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-09,NA,84770,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-10,NA,84963,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-11,NA,85113,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-12,NA,85278,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-13,NA,85365,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-14,NA,85436,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-15,NA,85669,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-16,NA,85929,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-17,NA,86165,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-18,NA,86384,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-19,NA,86598,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-20,NA,86694,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-21,NA,86792,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-22,NA,87028,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-23,NA,87288,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-24,NA,87466,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-25,NA,87486,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-26,NA,87603,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-27,NA,87720,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-28,NA,87855,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-29,NA,88280,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-11-30,NA,88652,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-01,NA,89077,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-02,NA,89500,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-03,NA,89870,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-04,NA,90060,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-05,NA,90184,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-06,NA,90659,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-07,NA,91056,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-08,NA,91479,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-09,NA,91840,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-10,NA,92178,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-11,NA,92350,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-12,NA,92507,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-13,NA,93080,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-14,NA,93721,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-15,NA,94483,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-16,NA,95221,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-17,NA,95883,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-18,NA,96226,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-19,NA,96540,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-20,NA,97803,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-21,NA,99207,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-22,NA,100755,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-23,NA,101885,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-24,NA,102287,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-25,NA,102433,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-26,NA,103159,count, ,NA
Case,Total Cases,Citywide,,Daily,2021-12-27,NA,105716,count, ,NA
